course_id,course_code,title,credits,category,delivery_mode,skills,prerequisites,term_patterns,difficulty_level,description
MAC-COMP-8110,COMP-8110,Advanced Computing Concepts,3.0,core,in-person,design-patterns|software-architecture|team-collaboration,,Fall|Winter,3,"Advanced topics in applied computing including design patterns, scalable architectures, and professional practice."
MAC-COMP-8150,COMP-8150,Advanced Software Engineering,3.0,core,in-person,agile-methods|requirements|software-engineering,MAC-COMP-8110,Fall,4,"Software lifecycle management, agile processes, testing strategies, and delivery pipelines for enterprise-scale systems."
MAC-COMP-8220,COMP-8220,Internet Applications and Distributed Systems,3.0,core,hybrid,cloud-computing|distributed-systems|web-services,MAC-COMP-8110,Winter,4,"Design and evaluation of scalable, distributed applications for the modern internet, covering microservices and event-driven architectures."
MAC-COMP-8250,COMP-8250,Advanced Systems Programming,3.0,core,in-person,operating-systems|performance-engineering|systems-programming,MAC-COMP-8110,Fall,5,"Low-level programming, concurrency, and performance engineering for high-reliability systems."
MAC-COMP-8340,COMP-8340,Advanced Database Topics,3.0,core,in-person,data-modeling|database-admin|sql-optimization,MAC-COMP-8110,Winter,3,"Advanced topics in relational, NoSQL, and distributed databases with emphasis on optimization and data governance."
MAC-COMP-8470,COMP-8470,Networking and Data Security,3.0,core,hybrid,cybersecurity|network-engineering|risk-assessment,MAC-COMP-8110,Fall|Winter,4,"Network protocols, secure architecture design, threat modeling, and compliance considerations for enterprise environments."
MAC-COMP-8650,COMP-8650,Applied Machine Learning,3.0,technical-elective,hybrid,machine-learning|model-deployment|python,MAC-COMP-8340,Winter,4,"Hands-on machine learning with emphasis on applied modeling, evaluation, and deployment in cloud environments."
MAC-COMP-8720,COMP-8720,Cloud and DevOps Engineering,3.0,technical-elective,online,automation|cloud-computing|devops,MAC-COMP-8220,Fall|Summer,3,"Infrastructure-as-code, container orchestration, and continuous delivery practices tailored to applied computing projects."
MAC-COMP-8780,COMP-8780,Data Analytics for Business,3.0,technical-elective,in-person,business-intelligence|data-analytics|storytelling,MAC-COMP-8340,Fall,3,"Analytics lifecycle, dashboarding, and translating technical insight into business strategy for stakeholders."
MAC-COMP-8830,COMP-8830,Human-Centered Computing,3.0,technical-elective,in-person,accessibility|user-research|ux-design,MAC-COMP-8110,Winter,2,"User-centered design, accessibility, and evaluation methods for applied software products."
MAC-COMP-8890,COMP-8890,Applied Computing Project,6.0,project,in-person,project-delivery|stakeholder-management|written-communication,MAC-COMP-8110|MAC-COMP-8150|MAC-COMP-8340,Fall|Summer|Winter,5,Capstone project or co-op placement applying MAC competencies to an industry problem.
MAC-BU-7500,BUSI-7500,Finance in a Global Perspective,3.0,business,in-person,decision-making|finance|quant-analysis,,Fall,2,"Financial principles, valuation, and budgeting for technology initiatives in global markets."
MAC-BU-7600,BUSI-7600,Marketing Strategy for Technology Ventures,3.0,business,online,communication|marketing|product-strategy,,Winter,2,"Market analysis, positioning, and go-to-market planning for software products and services."
MAC-BU-7700,BUSI-7700,Managing for Organizational Effectiveness,3.0,business,in-person,change-management|leadership|team-dynamics,,Fall|Winter,2,"People management, leadership styles, and organizational behaviour for technical leaders."
